Aged 3rd H,,,,,
T (K),V (mm3),,,,
678.236731,130.324871,,,,
678.550452,130.326925,,,,
678.703009,130.328466,,,,
678.757361,130.328774,,,,
679.098639,130.329596,,,,
679.229315,130.330828,,,,
679.198798,130.332574,,,,
679.372229,130.333910,,,,
679.808844,130.334115,,,,
679.772589,130.335759,,,,
679.823157,130.337094,,,,
680.161444,130.337710,,,,
680.144354,130.338327,,,,
680.459753,130.340381,,,,
680.693243,130.341203,,,,
680.904730,130.341408,,,,
680.926703,130.343360,,,,
681.111517,130.343771,,,,
681.319220,130.345312,,,,
681.454535,130.346031,,,,
681.611700,130.346544,,,,
681.735480,130.349318,,,,
681.869818,130.350242,,,,
682.122260,130.351475,,,,
682.273627,130.353016,,,,
682.582220,130.354146,,,,
682.622229,130.355276,,,,
682.815558,130.356303,,,,
682.906989,130.356714,,,,
683.114478,130.357331,,,,
683.302069,130.359077,,,,
683.492499,130.360207,,,,
683.580115,130.361132,,,,
683.840887,130.361953,,,,
684.018927,130.364214,,,,
684.085547,130.363700,,,,
684.305457,130.364624,,,,
684.428198,130.366577,,,,
684.631903,130.366679,,,,
684.675635,130.368837,,,,
685.022040,130.370686,,,,
685.175269,130.371302,,,,
685.256140,130.371508,,,,
685.521613,130.373768,,,,
685.717535,130.373973,,,,
685.673834,130.376234,,,,
685.984869,130.377056,,,,
686.068579,130.376336,,,,
686.263647,130.378083,,,,
686.539465,130.378699,,,,
686.689734,130.380651,,,,
686.869513,130.382193,,,,
686.976965,130.382706,,,,
687.137640,130.382912,,,,
687.283209,130.383939,,,,
687.446722,130.385789,,,,
687.566504,130.386200,,,,
687.808997,130.387022,,,,
687.894537,130.389179,,,,
688.150275,130.389488,,,,
688.328009,130.390618,,,,
688.475378,130.392365,,,,
688.347998,130.393495,,,,
688.776678,130.394728,,,,
688.901221,130.395344,,,,
689.057104,130.396988,,,,
689.262366,130.397502,,,,
689.537909,130.398118,,,,
689.492285,130.398838,,,,
689.929388,130.401509,,,,
689.850562,130.402023,,,,
690.035803,130.402948,,,,
690.247687,130.403256,,,,
