Aged 1st H,,,,,,,
T (K),V (mm3),,,,,,
656.283118,129.858692,,,,,,
656.596136,129.860129,,,,,,
656.628058,129.859821,,,,,,
656.994025,129.861361,,,,,,
657.111945,129.863312,,,,,,
657.128302,129.863928,,,,,,
657.295294,129.865160,,,,,,
657.605719,129.865673,,,,,,
657.731390,129.867522,,,,,,
657.967688,129.867624,,,,,,
658.007666,129.869678,,,,,,
658.289984,129.871423,,,,,,
658.342932,129.872039,,,,,,
658.563666,129.873785,,,,,,
658.714270,129.875633,,,,,,
658.963782,129.875633,,,,,,
659.115698,129.877584,,,,,,
659.175055,129.879022,,,,,,
659.400458,129.879330,,,,,,
659.724799,129.880357,,,,,,
659.683478,129.881075,,,,,,
659.846472,129.883745,,,,,,
660.194006,129.884566,,,,,,
660.228400,129.885901,,,,,,
660.415442,129.886723,,,,,,
660.617987,129.888982,,,,,,
660.875983,129.888468,,,,,,
660.901740,129.889701,,,,,,
661.179053,129.891754,,,,,,
661.386298,129.892165,,,,,,
661.516486,129.893192,,,,,,
661.396521,129.893705,,,,,,
661.828955,129.895862,,,,,,
661.940283,129.895040,,,,,,
662.003455,129.897094,,,,,,
662.194281,129.898737,,,,,,
662.394507,129.899661,,,,,,
662.538519,129.900483,,,,,,
662.825934,129.902537,,,,,,
662.941138,129.905823,,,,,,
663.005072,129.904591,,,,,,
663.219946,129.907466,,,,,,
663.412360,129.909520,,,,,,
663.669257,129.910136,,,,,,
663.751715,129.910239,,,,,,
663.938574,129.910753,,,,,,
664.092719,129.912498,,,,,,
664.264868,129.914244,,,,,,
664.365912,129.913833,,,,,,
664.627386,129.916812,,,,,,
664.736426,129.917120,,,,,,
664.666449,129.917633,,,,,,
665.105261,129.920098,,,,,,
665.243872,129.920920,,,,,,
665.477942,129.922050,,,,,,
665.698950,129.922871,,,,,,
665.857733,129.924823,,,,,,
665.877936,129.925028,,,,,,
666.117438,129.925336,,,,,,
666.210120,129.927287,,,,,,
666.410620,129.928725,,,,,,
666.498022,129.930677,,,,,,
666.751624,129.931088,,,,,,
666.791968,129.933245,,,,,,
667.036139,129.933450,,,,,,
667.388373,129.935401,,,,,,
667.435126,129.936429,,,,,,
667.671484,129.937969,,,,,,
667.727301,129.938688,,,,,,
667.969183,129.939818,,,,,,
668.114569,129.941564,,,,,,
668.528876,129.940948,,,,,,
668.416113,129.942386,,,,,,
668.744971,129.944132,,,,,,
668.733374,129.945057,,,,,,
668.961096,129.946392,,,,,,
669.097845,129.947933,,,,,,
669.244025,129.949884,,,,,,
669.270270,129.949987,,,,,,
669.656470,129.950706,,,,,,
669.783850,129.952760,,,,,,
669.876379,129.953993,,,,,,
670.186316,129.955328,,,,,,
670.306738,129.955637,,,,,,
670.290442,129.957691,,,,,,
670.556158,129.957896,,,,,,
670.685126,129.959232,,,,,,
670.978674,129.959951,,,,,,
671.069525,129.961697,,,,,,
671.226355,129.963752,,,,,,
671.335150,129.964882,,,,,,
671.600745,129.966012,,,,,,
671.731879,129.968066,,,,,,
671.967902,129.968066,,,,,,
672.002142,129.970326,,,,,,
672.409033,129.971867,,,,,,
672.340552,129.972278,,,,,,
672.522986,129.974024,,,,,,
672.853613,129.975565,,,,,,
672.851416,129.975052,,,,,,
673.158026,129.976490,,,,,,
673.392279,129.978750,,,,,,
673.479987,129.977928,,,,,,
673.624335,129.979572,,,,,,
673.744604,129.982654,,,,,,
673.915930,129.982346,,,,,,
674.031805,129.983990,,,,,,
674.206427,129.984092,,,,,,
674.379370,129.986250,,,,,,
674.702917,129.986455,,,,,,
674.656287,129.987585,,,,,,
674.982825,129.989127,,,,,,
674.990576,129.991798,,,,,,
675.235724,129.991695,,,,,,
675.528021,129.992928,,,,,,
675.628943,129.992928,,,,,,
675.836005,129.995496,,,,,,
675.797949,129.996421,,,,,,
676.089636,129.998270,,,,,,
676.183386,129.999606,,,,,,
676.460120,130.000942,,,,,,
676.550818,130.000120,,,,,,
676.815161,130.003099,,,,,,
677.143134,130.004230,,,,,,
677.097388,130.005771,,,,,,
677.284216,130.006696,,,,,,
677.594214,130.008031,,,,,,
677.508795,130.008134,,,,,,
677.730597,130.009264,,,,,,
677.809698,130.011730,,,,,,
678.193213,130.012141,,,,,,
678.287695,130.013169,,,,,,
678.416388,130.014196,,,,,,
678.586005,130.014196,,,,,,
678.737830,130.017176,,,,,,
678.965613,130.017382,,,,,,
679.115149,130.019745,,,,,,
679.307928,130.019951,,,,,,
679.437384,130.021286,,,,,,
679.630927,130.023033,,,,,,
679.730078,130.023547,,,,,,
679.915961,130.024883,,,,,,
680.299200,130.025910,,,,,,
680.164587,130.028582,,,,,,
680.478186,130.027966,,,,,,
680.630652,130.029096,,,,,,
680.766882,130.030637,,,,,,
680.788672,130.031871,,,,,,
681.036444,130.033823,,,,,,
681.156470,130.033001,,,,,,
681.406317,130.035673,,,,,,
681.630896,130.037214,,,,,,
681.877753,130.038653,,,,,,
681.791876,130.039475,,,,,,
682.204352,130.040914,,,,,,
682.416205,130.040606,,,,,,
682.443427,130.042147,,,,,,
682.614569,130.043689,,,,,,
682.757635,130.045744,,,,,,
683.095679,130.046360,,,,,,
683.005225,130.048005,,,,,,
683.214850,130.048313,,,,,,
683.269812,130.049238,,,,,,
683.665015,130.051088,,,,,,
683.628729,130.052116,,,,,,
683.924872,130.052835,,,,,,
684.176215,130.054685,,,,,,
684.299139,130.056432,,,,,,
684.325598,130.056432,,,,,,
684.570013,130.057357,,,,,,
684.783331,130.059001,,,,,,
684.931830,130.061982,,,,,,
685.122046,130.060954,,,,,,
685.253394,130.063010,,,,,,
685.526373,130.064346,,,,,,
685.567328,130.064963,,,,,,
685.686316,130.067635,,,,,,
685.997168,130.067224,,,,,,
686.088477,130.068663,,,,,,
686.256812,130.070513,,,,,,
686.494818,130.070307,,,,,,
686.542090,130.072363,,,,,,
686.717383,130.074418,,,,,,
686.928381,130.075652,,,,,,
687.149237,130.076063,,,,,,
687.401984,130.077605,,,,,,
687.500098,130.077913,,,,,,
687.633032,130.079147,,,,,,
687.780493,130.079866,,,,,,
687.862372,130.082230,,,,,,
688.060889,130.081613,,,,,,
688.441016,130.084080,,,,,,
688.559058,130.086136,,,,,,
688.645575,130.086445,,,,,,
688.721381,130.087986,,,,,,
688.952307,130.089323,,,,,,
689.054175,130.089837,,,,,,
689.150031,130.091379,,,,,,
689.586249,130.092715,,,,,,
689.646307,130.091481,,,,,,
689.762183,130.092304,,,,,,
689.923560,130.094462,,,,,,
690.091833,130.095387,,,,,,
690.285590,130.097443,,,,,,
690.490881,130.097855,,,,,,
